mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__solver,param_svd__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.01543726921081543,0.0013444674403799942,0.006707096099853515,0.0012483974786927073,0.1,newton-cg,8,"{'clf__C': 0.1, 'clf__solver': 'newton-cg', 'svd__n_components': 8}",0.7902097902097902,0.7972027972027972,0.8450704225352113,0.7887323943661971,0.8169014084507042,0.8076233625529399,0.021246429347050674,1,0.8066783831282952,0.8084358523725835,0.8017543859649123,0.8140350877192982,0.7929824561403509,0.804777233065088,0.007084660992508321
0.01454629898071289,0.0014331255996458334,0.00597996711730957,0.0006362980396577731,0.1,lbfgs,8,"{'clf__C': 0.1, 'clf__solver': 'lbfgs', 'svd__n_components': 8}",0.7902097902097902,0.7972027972027972,0.8450704225352113,0.7887323943661971,0.8169014084507042,0.8076233625529399,0.021246429347050674,1,0.8066783831282952,0.8084358523725835,0.8017543859649123,0.8140350877192982,0.7929824561403509,0.804777233065088,0.007084660992508321
0.017341756820678712,0.004638506955917645,0.007195377349853515,0.001499096805236312,1.0,lbfgs,8,"{'clf__C': 1.0, 'clf__solver': 'lbfgs', 'svd__n_components': 8}",0.7902097902097902,0.7902097902097902,0.8450704225352113,0.7816901408450704,0.8169014084507042,0.8048163104501134,0.023357926796300495,3,0.8066783831282952,0.8101933216168717,0.8,0.8122807017543859,0.8,0.8058304812999106,0.0050862104052118206
0.017255210876464845,0.0027632838249746967,0.009816217422485351,0.007272595541881534,1.0,newton-cg,8,"{'clf__C': 1.0, 'clf__solver': 'newton-cg', 'svd__n_components': 8}",0.7902097902097902,0.7902097902097902,0.8450704225352113,0.7746478873239436,0.8169014084507042,0.803407859745888,0.024873114350615188,4,0.8066783831282952,0.8101933216168717,0.8,0.8122807017543859,0.8,0.8058304812999106,0.0050862104052118206
0.027161502838134767,0.012400735884182786,0.011858415603637696,0.006893598249744506,10.0,lbfgs,8,"{'clf__C': 10.0, 'clf__solver': 'lbfgs', 'svd__n_components': 8}",0.7902097902097902,0.7902097902097902,0.8309859154929577,0.7887323943661971,0.8169014084507042,0.8034078597458878,0.017357260028631163,5,0.8066783831282952,0.8101933216168717,0.8,0.8122807017543859,0.8017543859649123,0.8061813584928931,0.004719155610891353
0.02539677619934082,0.012916840333933383,0.007676267623901367,0.0017064993336377077,10.0,newton-cg,8,"{'clf__C': 10.0, 'clf__solver': 'newton-cg', 'svd__n_components': 8}",0.7902097902097902,0.7902097902097902,0.8309859154929577,0.7887323943661971,0.8169014084507042,0.8034078597458878,0.017357260028631163,5,0.8066783831282952,0.8101933216168717,0.8,0.8122807017543859,0.8017543859649123,0.8061813584928931,0.004719155610891353
0.01645040512084961,0.0018761178865129048,0.007150602340698242,0.0030320513315088664,0.1,lbfgs,10,"{'clf__C': 0.1, 'clf__solver': 'lbfgs', 'svd__n_components': 10}",0.7902097902097902,0.7972027972027972,0.8309859154929577,0.7887323943661971,0.8098591549295775,0.803398010440264,0.015685847175370048,7,0.8084358523725835,0.8101933216168717,0.8017543859649123,0.8140350877192982,0.8035087719298246,0.8075854839206981,0.004466376991230454
0.015290784835815429,0.0017841652093502918,0.006662750244140625,0.001098588962888499,0.1,lbfgs,12,"{'clf__C': 0.1, 'clf__solver': 'lbfgs', 'svd__n_components': 12}",0.7902097902097902,0.7972027972027972,0.8309859154929577,0.7887323943661971,0.8098591549295775,0.803398010440264,0.015685847175370048,7,0.8084358523725835,0.8101933216168717,0.8017543859649123,0.8140350877192982,0.8035087719298246,0.8075854839206981,0.004466376991230454
0.018345975875854494,0.0028386036832542937,0.00804915428161621,0.0017906239769668085,0.1,newton-cg,10,"{'clf__C': 0.1, 'clf__solver': 'newton-cg', 'svd__n_components': 10}",0.7902097902097902,0.7972027972027972,0.8309859154929577,0.7887323943661971,0.8098591549295775,0.803398010440264,0.015685847175370048,7,0.8084358523725835,0.8101933216168717,0.8017543859649123,0.8140350877192982,0.8035087719298246,0.8075854839206981,0.004466376991230454
0.024115657806396483,0.005961450244641426,0.010196352005004882,0.005805267381713336,0.1,newton-cg,12,"{'clf__C': 0.1, 'clf__solver': 'newton-cg', 'svd__n_components': 12}",0.7902097902097902,0.7972027972027972,0.8309859154929577,0.7887323943661971,0.8098591549295775,0.803398010440264,0.015685847175370048,7,0.8084358523725835,0.8101933216168717,0.8017543859649123,0.8140350877192982,0.8035087719298246,0.8075854839206981,0.004466376991230454
0.034453821182250974,0.02184992860659122,0.006648635864257813,0.0006027105789036152,1.0,newton-cg,10,"{'clf__C': 1.0, 'clf__solver': 'newton-cg', 'svd__n_components': 10}",0.7972027972027972,0.7972027972027972,0.8098591549295775,0.7816901408450704,0.823943661971831,0.8019797104304146,0.014154894890856475,11,0.804920913884007,0.8014059753954306,0.8052631578947368,0.8140350877192982,0.7982456140350878,0.8047741497857122,0.005291351770795495
0.01719951629638672,0.0024583334488544905,0.005730056762695312,0.0003157657858043274,1.0,newton-cg,12,"{'clf__C': 1.0, 'clf__solver': 'newton-cg', 'svd__n_components': 12}",0.7972027972027972,0.7972027972027972,0.8098591549295775,0.7816901408450704,0.823943661971831,0.8019797104304146,0.014154894890856475,11,0.804920913884007,0.8014059753954306,0.8052631578947368,0.8140350877192982,0.7982456140350878,0.8047741497857122,0.005291351770795495
